10000 | স্কুলটির দিকে দৃষ্টি দিন। | স্কুলটির দিকে দৃষ্টি দিন।
10001 | পিরোজপুর জেলার কাউখালী বন্দরে একটি মাত্র বালিকা বিদ্যালয় আছে, যা এসবি সরকারি উচ্চবালিকা বিদ্যালয় নামে পরিচিত। | পিরোজপুর জেলার কাউখালী বন্দরে একটি মাত্র বালিকা বিদ্যালয় আছে, যা এসবি সরকারি উচ্চবালিকা বিদ্যালয় নামে পরিচিত।
10002 | অনেক ঐতিহ্য বহন করছে এ বিদ্যালয়টি। | অনেক ঐতিহ্য বহন করছে এ বিদ্যালয়টি।
10003 | কিন্তু এখানকার ছাত্রী ও শিক্ষক-শিক্ষিকাদের সম্মুখীন হতে হচ্ছে বহুবিধ সমস্যার। | কিন্তু এখানকার ছাত্রী ও শিক্ষক-শিক্ষিকাদের সম্মুখীন হতে হচ্ছে বহুবিধ সমস্যার!
10004 | পাশ্বর্বর্তী বিভিন্ন গ্রাম ও দূরদূরান্ত থেকে ভালো শিক্ষার আশায় এখানে পড়তে আসছে শিক্ষার্থীরা। | পাশ্বর্বর্তী বিভিন্ন গ্রাম ও দূরদূরান্ত থেকে ভালো শিক্ষার আশায় এখানে পড়তে আসছে শিক্ষার্থীরা।
10005 | কিন্তু তারপরও শিক্ষার্থীরা এখানে পাচ্ছে না যথাযথ শিক্ষা। | কিন্তু তারপরও শিক্ষার্থীরা এখানে পাচ্ছে না যথাযথ শিক্ষা।
10006 | এর প্রধান কারণ শিক্ষক-শিক্ষিকা সংকট। | এর প্রধান কারণ শিক্ষক-শিক্ষিকা সংকট।
10007 | এক বছর ধরে এখানে নেই কোনো প্রধান শিক্ষক। | এক বছর ধরে এখানে নেই কোনো প্রধান শিক্ষক।
10008 | ভারপ্রাপ্ত সিনিয়র শিক্ষক এই প্রতিষ্ঠানটি একা চালাতে হিমশিম খাচ্ছেন। | ভারপ্রাপ্ত সিনিয়র শিক্ষক এই প্রতিষ্ঠানটি একা চালাতে হিমশিম খাচ্ছেন।
10009 | সহকারী প্রধান শিক্ষক পদটি থাকা সত্ত্বেও এই প্রতিষ্ঠানে নেই কোনো সহকারী প্রধান শিক্ষক। | সহকারী প্রধান শিক্ষক পদটি থাকা সত্ত্বেও এই প্রতিষ্ঠানে নেই কোনো সহকারী প্রধান শিক্ষক!
10010 | দুবছর ধরে নেই কোনো করণিক। | দুবছর ধরে নেই কোনো করণিক।
10011 | এ বিদ্যালয়ে ছাত্রীসংখ্যা প্রায় ৭৫০। | এ বিদ্যালয়ে ছাত্রীসংখ্যা প্রায় সাতশ পঞ্চাশ।
10012 | কিন্তু শিক্ষক মাত্র ছয় জন। | কিন্তু শিক্ষক মাত্র ছয় জন!
10013 | সম্প্রতি একজন বিজ্ঞান বিভাগের শিক্ষক তিন মাসের ট্রেনিংয়ে গেছেন। | সম্প্রতি একজন বিজ্ঞান বিভাগের শিক্ষক তিন মাসের ট্রেনিংয়ে গেছেন।
10014 | এই বিদ্যালয়ে চতুর্থ শ্রেণী থেকে দশম শ্রেণী পর্যন্ত পড়ানো হয়। | এই বিদ্যালয়ে চতুর্থ শ্রেণী থেকে দশম শ্রেণী পর্যন্ত পড়ানো হয়।
10015 | এই সাতটি শ্রেণীর পাঠদান করা পাঁচজন শিক্ষকের পক্ষে অসম্ভব হয়ে দেখা দেয়। | এই সাতটি শ্রেণীর পাঠদান করা পাঁচজন শিক্ষকের পক্ষে অসম্ভব হয়ে দেখা দেয়।
10016 | নৈশ প্রহরীর পদেও কোনো লোক নেই। | নৈশ প্রহরীর পদেও কোনো লোক নেই।
10017 | রাতে বিদ্যালয়টি অরক্ষিত অবস্থায় থাকে। | রাতে বিদ্যালয়টি অরক্ষিত অবস্থায় থাকে।
10018 | এই বিদ্যালয়ে একটি লাইব্রেরি আছে, কিন্তু সেই লাইব্রেরি কক্ষ কখনোই খোলা হয় না। | এই বিদ্যালয়ে একটি লাইব্রেরি আছে, কিন্তু সেই লাইব্রেরি কক্ষ কখনোই খোলা হয় না!
10019 | কারণ কোনো গ্রন্থাগারিক নেই। | কারণ কোনো গ্রন্থাগারিক নেই।
10020 | যে কারণে শিক্ষার্থীরা লাইব্রেরির বই পড়া থেকে বঞ্চিত হচ্ছে। | যে কারণে শিক্ষার্থীরা লাইব্রেরির বই পড়া থেকে বঞ্চিত হচ্ছে।
10021 | বিজ্ঞানাগারটাও সংস্কার করা প্রয়োজন এবং একজন বিজ্ঞান সহকারী প্রয়োজন। | বিজ্ঞানাগারটাও সংস্কার করা প্রয়োজন এবং একজন বিজ্ঞান সহকারী প্রয়োজন।
10022 | উপরিউক্ত সমস্যাগুলোর সমাধানে যথাযথ ব্যবস্থা গ্রহণের জন্য ঊর্ধ্বতন কর্তৃপক্ষের সদয় দৃষ্টি আকর্ষণ করছি। | উপরিউক্ত সমস্যাগুলোর সমাধানে যথাযথ ব্যবস্থা গ্রহণের জন্য ঊর্ধ্বতন কর্তৃপক্ষের সদয় দৃষ্টি আকর্ষণ করছি।
10023 | সোনিয়া মৌমিতা। | সোনিয়া মৌমিতা।
10024 | কাউখালী, পিরোজপুর। | কাউখালী, পিরোজপুর।
10025 | বিহঙ্গেরে তুলিয়া লও বুকে। | বিহঙ্গেরে তুলিয়া লও বুকে।
10026 | শীতের শুরুতে দেশের হাওর-বিল, চরাঞ্চল, পাহাড়ি অঞ্চল ছাড়াও গাঁয়ের নির্জন অঞ্চলে অতিথি পাখিরা আসতে শুরু করে। | শীতের শুরুতে দেশের হাওর-বিল, চরাঞ্চল, পাহাড়ি অঞ্চল ছাড়াও গাঁয়ের নির্জন অঞ্চলে অতিথি পাখিরা আসতে শুরু করে।
